Sequence_Name,Label,Probability
ID=sp|P82617||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.580
ID=sp|O29878||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|P56348||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|Q9MS62||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|A5GMA2||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|C0HLF9||Label=0|Type=non_AVP|Source=UniProt|Length=26|Dataset=TS_non_AVP,AVP,0.830
ID=sp|Q9MS53||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P81749||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.480
ID=sp|Q0P3J8||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.075
ID=sp|P21790||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,AVP,0.580
ID=sp|P46111||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,AVP,0.830
ID=sp|U5L3M8||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.045
ID=sp|Q5Z1L3||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|C0HJJ6||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.110
ID=sp|P0C5P4||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|P32957||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.090
ID=sp|P02325||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,AVP,0.850
ID=sp|P14158||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.395
ID=sp|O24172||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.325
ID=sp|P0DUV0||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.520
ID=sp|P05699||Label=0|Type=non_AVP|Source=UniProt|Length=26|Dataset=TS_non_AVP,non-AVP,0.055
ID=sp|A5A624||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P50983||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.995
ID=sp|P0C1H1||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,AVP,0.615
ID=sp|Q70LE1||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.115
ID=sp|A1VE94||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|O30205||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.085
ID=sp|Q86QU4||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,AVP,0.815
ID=sp|C0HJS8||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,AVP,0.930
ID=sp|P20728||Label=0|Type=non_AVP|Source=UniProt|Length=14|Dataset=TS_non_AVP,non-AVP,0.220
ID=sp|Q12ZT7||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.365
ID=sp|Q0P3J2||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|Q8RHH9||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.070
ID=DRAVPe01978|Label=1|Type=AVP|Source=DRAVP|Length=12|Dataset=TS_AVP,AVP,0.965
ID=sp|C0HLW3||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.750
ID=HIP669|Label=1|Type=AVP|Source=HIPdb|Length=20|Dataset=TS_AVP,AVP,0.930
ID=sp|A5IXI1||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P0C8R2||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.340
ID=dbAMP_02512|Label=1|Type=AVP|Source=dbAMP_Antiviral|Length=37|Dataset=TS_AVP,AVP,1.000
ID=sp|Q86QV2||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,AVP,0.685
ID=sp|P63176||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,AVP,0.565
ID=sp|C0HM02||Label=0|Type=non_AVP|Source=UniProt|Length=26|Dataset=TS_non_AVP,non-AVP,0.150
ID=sp|P69841||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,AVP,0.930
ID=sp|P82234||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P60993||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,AVP,0.735
ID=sp|P86134||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,AVP,0.960
ID=sp|P81082||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,non-AVP,0.305
ID=sp|P56624||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.415
ID=sp|C0QQP7||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P84865||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,AVP,0.740
ID=sp|B1IBD3||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|P80171||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,AVP,0.725
ID=sp|O78505||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|Q7M3P1||Label=0|Type=non_AVP|Source=UniProt|Length=8|Dataset=TS_non_AVP,non-AVP,0.135
ID=sp|P0C610||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,AVP,0.885
ID=sp|C0HJJ5||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.440
ID=DRAVPe00247|Label=1|Type=AVP|Source=DRAVP|Length=36|Dataset=TS_AVP,AVP,1.000
ID=sp|A5VKU3||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|Q8M9Y3||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|Q7LZT3||Label=0|Type=non_AVP|Source=UniProt|Length=14|Dataset=TS_non_AVP,non-AVP,0.080
ID=sp|A8MRE9||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.215
ID=sp|Q6NUR6||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.115
ID=sp|D6C4J9||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,AVP,0.775
ID=sp|P80798||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,AVP,0.825
ID=sp|B2X1V8||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P84947||Label=0|Type=non_AVP|Source=UniProt|Length=6|Dataset=TS_non_AVP,AVP,0.955
ID=sp|P38639||Label=0|Type=non_AVP|Source=UniProt|Length=5|Dataset=TS_non_AVP,AVP,1.000
ID=sp|Q6WGI9||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,AVP,0.525
ID=sp|P0DJQ0||Label=0|Type=non_AVP|Source=UniProt|Length=23|Dataset=TS_non_AVP,non-AVP,0.295
ID=sp|P0DV20||Label=0|Type=non_AVP|Source=UniProt|Length=18|Dataset=TS_non_AVP,non-AVP,0.120
ID=ACoVP100295|Label=1|Type=AVP|Source=ACovPepDB|Length=19|Dataset=TS_AVP,AVP,0.845
ID=sp|P11057||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,AVP,0.655
ID=sp|P15414||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,non-AVP,0.025
ID=DRAVPe01702|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,non-AVP,0.370
ID=sp|Q9I980||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|P69105||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,AVP,0.830
ID=sp|Q9BN12||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.385
ID=sp|P14461||Label=0|Type=non_AVP|Source=UniProt|Length=16|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|C0HKH6||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,AVP,0.995
ID=sp|Q9KGE9||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P83250||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,AVP,0.845
ID=sp|P86915||Label=0|Type=non_AVP|Source=UniProt|Length=23|Dataset=TS_non_AVP,AVP,0.975
ID=sp|Q03RN9||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.000
ID=13986|Label=1|Type=AVP|Source=Peptipedia|Length=28|Dataset=TS_AVP,AVP,0.810
ID=sp|P56710||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,AVP,0.895
ID=sp|Q8YNB0||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P50659||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P21233||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,non-AVP,0.280
ID=sp|P0CH20||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,AVP,0.970
ID=DRAVPe00260|Label=1|Type=AVP|Source=DRAVP|Length=38|Dataset=TS_AVP,AVP,0.995
ID=sp|P0DL45||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,AVP,0.985
ID=sp|P80799||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.260
ID=sp|P0CI06||Label=0|Type=non_AVP|Source=UniProt|Length=16|Dataset=TS_non_AVP,AVP,0.970
ID=sp|Q255T6||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|P18252||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P0C5F4||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,AVP,0.920
ID=44166|Label=1|Type=AVP|Source=Peptipedia|Length=16|Dataset=TS_AVP,AVP,0.525
ID=sp|Q1KXU5||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|Q8WNY8||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,AVP,0.810
ID=sp|Q8M9X0||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|P15785||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.100
ID=sp|P80916||Label=0|Type=non_AVP|Source=UniProt|Length=26|Dataset=TS_non_AVP,AVP,0.770
ID=HIP1074|Label=1|Type=AVP|Source=HIPdb|Length=6|Dataset=TS_AVP,AVP,0.925
ID=sp|C0HK36||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,AVP,0.915
ID=sp|P86111||Label=0|Type=non_AVP|Source=UniProt|Length=7|Dataset=TS_non_AVP,non-AVP,0.460
ID=sp|P0DN84||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.075
ID=sp|Q8TGN0||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|C0HK84||Label=0|Type=non_AVP|Source=UniProt|Length=23|Dataset=TS_non_AVP,AVP,0.995
ID=sp|P0DJP5||Label=0|Type=non_AVP|Source=UniProt|Length=18|Dataset=TS_non_AVP,AVP,0.655
ID=sp|P56248||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,AVP,0.865
ID=sp|P60262||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.485
ID=sp|A0AMG5||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|A8F4T5||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P85217||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|P0C249||Label=0|Type=non_AVP|Source=UniProt|Length=8|Dataset=TS_non_AVP,AVP,0.975
ID=sp|Q3MFA0||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|B3PZS1||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P08608||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,AVP,0.610
ID=sp|Q8TGL1||Label=0|Type=non_AVP|Source=UniProt|Length=26|Dataset=TS_non_AVP,non-AVP,0.050
ID=sp|Q3E7Z9||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.310
ID=sp|O34489||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.090
ID=sp|P15762||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.135
ID=sp|P80443||Label=0|Type=non_AVP|Source=UniProt|Length=21|Dataset=TS_non_AVP,non-AVP,0.045
ID=sp|Q39ZS6||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|P83921||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.615
ID=sp|Q488Z2||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P0C2A2||Label=0|Type=non_AVP|Source=UniProt|Length=26|Dataset=TS_non_AVP,non-AVP,0.265
ID=sp|D6C4K4||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,AVP,0.795
ID=sp|P80738||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.070
ID=sp|P18647||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,non-AVP,0.060
ID=sp|P01260||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,non-AVP,0.065
ID=sp|P0C7K4||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,AVP,0.635
ID=sp|C0HKB3||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,non-AVP,0.410
ID=sp|P86520||Label=0|Type=non_AVP|Source=UniProt|Length=25|Dataset=TS_non_AVP,non-AVP,0.065
ID=sp|P22585||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,non-AVP,0.275
ID=sp|B3EWX9||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,AVP,0.810
ID=HIP274|Label=1|Type=AVP|Source=HIPdb|Length=15|Dataset=TS_AVP,non-AVP,0.485
ID=sp|C0HKA8||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,AVP,0.990
ID=sp|Q54VJ3||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|B0JX58||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P82889||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P0CV88||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,AVP,0.730
ID=sp|A0T0U4||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|Q5V1M2||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.045
ID=sp|Q11116||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.075
ID=sp|P85696||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.570
ID=sp|P28251||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|A7Z565||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P83399||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P0DQR7||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,AVP,0.955
ID=sp|A0A355||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|F4HTB2||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.075
ID=sp|Q8TGU8||Label=0|Type=non_AVP|Source=UniProt|Length=32|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|P86817||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.805
ID=sp|P85062||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,AVP,0.765
ID=DRAVPe01619|Label=1|Type=AVP|Source=DRAVP|Length=6|Dataset=TS_AVP,AVP,1.000
ID=sp|P85833||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.470
ID=sp|Q19V67||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.015
ID=DRAVPe01413|Label=1|Type=AVP|Source=DRAVP|Length=13|Dataset=TS_AVP,AVP,0.995
ID=sp|P85010||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,AVP,0.775
ID=sp|P85867||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,non-AVP,0.350
ID=sp|Q0ID25||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|B4UKG4||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P83147||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,non-AVP,0.450
ID=sp|Q3ZIZ4||Label=0|Type=non_AVP|Source=UniProt|Length=34|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|Q9GFC3||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|A6H5J8||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|P0C612||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,AVP,0.690
ID=sp|Q9I955||Label=0|Type=non_AVP|Source=UniProt|Length=46|Dataset=TS_non_AVP,non-AVP,0.080
ID=dbAMP_31523|Label=1|Type=AVP|Source=dbAMP_Antiviral|Length=18|Dataset=TS_AVP,AVP,0.635
ID=DRAVPe00500|Label=1|Type=AVP|Source=DRAVP|Length=11|Dataset=TS_AVP,AVP,1.000
ID=sp|B4RA25||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|A2T353||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|Q9MUQ1||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|P60177||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,AVP,0.890
ID=sp|P50370||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,non-AVP,0.010
ID=CAMPSQ21871|Label=1|Type=AVP|Source=CAMP|Length=12|Dataset=TS_AVP,AVP,0.850
ID=sp|P85818||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,AVP,0.745
ID=sp|Q7LZI4||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P0CI17||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,AVP,0.980
ID=sp|P84667||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.615
ID=sp|C0HKN2||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,AVP,1.000
ID=sp|A0A023IWE3||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,non-AVP,0.080
ID=sp|P0C7J9||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.985
ID=sp|P0CJ74||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,non-AVP,0.045
ID=DRAVPe00175|Label=1|Type=AVP|Source=DRAVP|Length=17|Dataset=TS_AVP,AVP,0.980
ID=sp|B1WVQ2||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P80267||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.080
ID=sp|C0HL33||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P58923||Label=0|Type=non_AVP|Source=UniProt|Length=30|Dataset=TS_non_AVP,AVP,0.940
ID=DRAVPe00166|Label=1|Type=AVP|Source=DRAVP|Length=17|Dataset=TS_AVP,AVP,0.995
ID=DRAVPe00722|Label=1|Type=AVP|Source=DRAVP|Length=35|Dataset=TS_AVP,AVP,0.985
ID=sp|Q38UT4||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|Q6ACX8||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.035
ID=HIP797|Label=1|Type=AVP|Source=HIPdb|Length=35|Dataset=TS_AVP,AVP,0.995
ID=sp|P67885||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.190
ID=sp|P60995||Label=0|Type=non_AVP|Source=UniProt|Length=16|Dataset=TS_non_AVP,non-AVP,0.065
ID=14542|Label=1|Type=AVP|Source=Peptipedia|Length=24|Dataset=TS_AVP,AVP,0.980
ID=sp|Q3E732||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.075
ID=sp|P19850||Label=0|Type=non_AVP|Source=UniProt|Length=11|Dataset=TS_non_AVP,AVP,0.985
ID=sp|A4QKB9||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.035
ID=DRAVPe00774|Label=1|Type=AVP|Source=DRAVP|Length=13|Dataset=TS_AVP,AVP,0.990
ID=sp|Q31CL1||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|P30980||Label=0|Type=non_AVP|Source=UniProt|Length=36|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|Q6B8Y5||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|Q85FK4||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|B3EWU1||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,AVP,0.670
ID=sp|Q39XY3||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=DRAVPe01957|Label=1|Type=AVP|Source=DRAVP|Length=16|Dataset=TS_AVP,AVP,1.000
ID=sp|P0C5M8||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.050
ID=dbAMP_31518|Label=1|Type=AVP|Source=dbAMP_Antiviral|Length=18|Dataset=TS_AVP,non-AVP,0.445
ID=sp|P52221||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.015
ID=DRAVPe01692|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,AVP,0.695
ID=DRAVPe00138|Label=1|Type=AVP|Source=DRAVP|Length=15|Dataset=TS_AVP,AVP,0.950
ID=sp|Q85X30||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P81467||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P86978||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,AVP,0.855
ID=sp|P0DUT3||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,non-AVP,0.085
ID=sp|B2Y1W3||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P0DTV3||Label=0|Type=non_AVP|Source=UniProt|Length=13|Dataset=TS_non_AVP,AVP,1.000
ID=DRAVPe01684|Label=1|Type=AVP|Source=DRAVP|Length=18|Dataset=TS_AVP,AVP,0.870
ID=sp|P84762||Label=0|Type=non_AVP|Source=UniProt|Length=27|Dataset=TS_non_AVP,non-AVP,0.145
ID=sp|P56641||Label=0|Type=non_AVP|Source=UniProt|Length=16|Dataset=TS_non_AVP,AVP,0.970
ID=sp|P07577||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|A3CWZ6||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.045
ID=AVP2013|Label=1|Type=AVP|Source=AVPdb|Length=6|Dataset=TS_AVP,AVP,0.980
ID=sp|B3EWV8||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,AVP,0.990
